 Count File                       Function                                 Line
    12 ...Structures/src/deque.jl Deque                                      67
     1 ...Structures/src/deque.jl push!                                     189
   428 ...Structures/src/deque.jl push!                                     197
     1 ...Structures/src/deque.jl shift!                                    260
     1 ...CE358/Lab2/Rev2/CSMA.jl run                                        15
    28 ...CE358/Lab2/Rev2/CSMA.jl run                                        16
    17 ...CE358/Lab2/Rev2/CSMA.jl run                                        17
     1 ...CE358/Lab2/Rev2/CSMA.jl run                                        20
   649 ...CE358/Lab2/Rev2/CSMA.jl run                                        21
   113 ...CE358/Lab2/Rev2/CSMA.jl run                                        22
     5 ...CE358/Lab2/Rev2/CSMA.jl run                                        26
     1 ...358/Lab2/Rev2/medium.jl destination                                24
    12 ...358/Lab2/Rev2/medium.jl prop                                       82
   202 ...358/Lab2/Rev2/medium.jl prop                                       92
   227 ...358/Lab2/Rev2/medium.jl prop                                       97
   207 ...358/Lab2/Rev2/medium.jl prop                                      103
     1 ...358/Lab2/Rev2/medium.jl prop                                      111
    19 ...358/Lab2/Rev2/medium.jl sense                                      36
    17 ...358/Lab2/Rev2/medium.jl sense                                      37
     1 ...358/Lab2/Rev2/medium.jl sense                                      39
     1 ...358/Lab2/Rev2/medium.jl sense                                      44
    24 ...358/Lab2/Rev2/medium.jl sense                                      48
     1 ...358/Lab2/Rev2/medium.jl sense                                      49
     1 ...358/Lab2/Rev2/medium.jl sense                                      60
     3 ...358/Lab2/Rev2/medium.jl sense                                      64
     1 ...358/Lab2/Rev2/medium.jl sense                                      69
     2 ...CE358/Lab2/Rev2/node.jl generate                                   27
    11 ...CE358/Lab2/Rev2/node.jl generate                                   28
     1 ...CE358/Lab2/Rev2/node.jl generate                                   29
     1 ...CE358/Lab2/Rev2/node.jl transmit                                   41
     2 ...CE358/Lab2/Rev2/node.jl transmit                                   42
     1 ...CE358/Lab2/Rev2/node.jl transmit                                   43
     2 ...CE358/Lab2/Rev2/node.jl transmit                                   46
     5 ...CE358/Lab2/Rev2/node.jl transmit                                   48
    59 ....11/lib/julia/sys.dylib _methods                                   -1
   841 ....11/lib/julia/sys.dylib _start                                     -1
   151 ....11/lib/julia/sys.dylib abstract_call                              -1
   148 ....11/lib/julia/sys.dylib abstract_call_gf                           -1
   189 ....11/lib/julia/sys.dylib abstract_eval                              -1
   131 ....11/lib/julia/sys.dylib abstract_eval_arg                          -1
   186 ....11/lib/julia/sys.dylib abstract_eval_call                         -1
     1 ....11/lib/julia/sys.dylib abstract_eval_constant                     -1
     1 ....11/lib/julia/sys.dylib abstract_eval_global                       -1
     1 ....11/lib/julia/sys.dylib abstract_eval_symbol                       -1
    56 ....11/lib/julia/sys.dylib abstract_interpret                         -1
     2 ....11/lib/julia/sys.dylib anonymous                                  -1
     1 ....11/lib/julia/sys.dylib builtin_tfunction                          -1
     2 ....11/lib/julia/sys.dylib contains_is1                               -1
     1 ....11/lib/julia/sys.dylib copy!                                      -1
     3 ....11/lib/julia/sys.dylib effect_free                                -1
     1 ....11/lib/julia/sys.dylib exprtype                                   -1
     1 ....11/lib/julia/sys.dylib getindex                                   -1
   841 ....11/lib/julia/sys.dylib include                                    -1
    32 ....11/lib/julia/sys.dylib inlineable                                 -1
   113 ....11/lib/julia/sys.dylib inlining_pass                              -1
     1 ....11/lib/julia/sys.dylib is_known_call_p                            -1
     1 ....11/lib/julia/sys.dylib is_pure_builtin                            -1
     2 ....11/lib/julia/sys.dylib isconstantfunc                             -1
     1 ....11/lib/julia/sys.dylib local_typeof                               -1
     6 ....11/lib/julia/sys.dylib occurs_more                                -1
     2 ....11/lib/julia/sys.dylib occurs_undef                               -1
    28 ....11/lib/julia/sys.dylib process_events                             -1
   841 ....11/lib/julia/sys.dylib process_options                            -1
     4 ....11/lib/julia/sys.dylib remove_redundant_temp_vars                 -1
     2 ....11/lib/julia/sys.dylib replace_tupleref!                          -1
     1 ....11/lib/julia/sys.dylib resize!                                    -1
     6 ....11/lib/julia/sys.dylib resolve_globals                            -1
     2 ....11/lib/julia/sys.dylib stupdate                                   -1
     6 ....11/lib/julia/sys.dylib sym_replace                                -1
     1 ....11/lib/julia/sys.dylib tchanged                                   -1
     5 ....11/lib/julia/sys.dylib tuple_elim_pass                            -1
     2 ....11/lib/julia/sys.dylib tupleref_elim_pass                         -1
   211 ....11/lib/julia/sys.dylib typeinf                                    -1
    69 ....11/lib/julia/sys.dylib typeinf_ext                                -1
     2 ....11/lib/julia/sys.dylib unique_name                                -1
     1 ....11/lib/julia/sys.dylib unsafe_copy!                               -1
    56 ....11/lib/julia/sys.dylib wait                                       -1
     1 base.jl                    convert                                    13
   331 base.jl                    convert                                    21
     1 float.jl                   <=                                        188
   841 loading.jl                 include_from_node1                        128
   840 profile.jl                 anonymous                                  14
     1 random.jl                  rand                                      209
    24 string.jl                  print                                       4
    32 string.jl                  println                                     5
    28 task.jl                    anonymous                                 513
    13 tuple.jl                   argtail                                    39
